"Timestamp","Where did you hear about this survey?","How many years of experience do you have in network operations?","Are you currently affiliated with an ISP?","Which group of ISPs best fits the ISP you are affiliated with (could be employed by, if you are currently unaffiliated) ?","If you're currently affiliated with an ISP, please rate the importance of network security to your ISP's operations:","Do you see offering secure routing technology as a marketable product?","Would network operators have incentives to offer SBAS as a product to customers? ","How interested would you or your ISP be in offering SBAS as a product to customers? ","Are there any aspects of SBAS that could help effectively promote it to the management at your ISP?","What is your confidence in your answers to incentives questions?","Do you have any other comments regarding incentives?","How useful is the SBAS system for countering the threat of Internet routing attacks? ","What is the feasibility of deploying SBAS in real-world networks? ","What is your confidence in your answers to feasibility and usefulness questions?","Do you have any other comments regarding feasibility and usefulness?","SBAS requires a governance structure to coordinate system operations. What governance structure would best encourage ISP participation? ","What is your confidence in your answer to the governance question?","Do you have any other comments regarding governance?","What do you think of the SBAS system overall? Please provide any other comments below."
"2021/12/17 10:33:31 PM GMT+2","NANOG mailing list","11–20","Yes","Large, multi-national ISPs (Level 3, Telia, Cogent, etc...)","5","4","1","1","No. I do not believe that the proposed architecture is viable. ","5","","1","1","5","","Decentralized governance model (e.g., Tor project)","3","","The architecture requires fundamental departures from normal internet operations that render it non viable. The changes to the data plane required for encapsulation would require the wholesale replacement of almost every device in the DFZ. "
"2021/12/18 10:07:10 PM GMT+2","NANOG mailing list","6–10","Yes","Regional ISPs","5","5","5","5","Security","3","","5","3","3","no","Decentralized governance model (e.g., Tor project)","1","","Urgent!"
"2021/12/19 8:40:10 PM GMT+2","NANOG mailing list","20+","Yes","Research and Academic ISPs (Internet2, GÉA​​​N​T, NJEdge, GRNet, etc...)","5","3","1","1","","5","","1","1","1","","Handing governance responsibilities over to the Regional Internet Registries (RIRs)","5","",""
"2021/12/19 11:20:30 PM GMT+2","NANOG mailing list","6–10","Yes","National ISPs (Comcast, Swisscom, etc...)","4","5","1","1","no","2","bgp security is already here - no body needs propretary solution...","1","1","2","","Federation of network providers/ISPs (e.g., MANRS)","2","",""
"2021/12/20 10:53:48 AM GMT+2","NANOG mailing list","6–10","Yes","National ISPs (Comcast, Swisscom, etc...)","1","1","3","1","The suits&ties of my employer doesn't give a sh*t about it. Hence it's not happening.","4","","3","3","3","","Federation of network providers/ISPs (e.g., MANRS)","4","",""
"2022/01/14 2:06:51 PM GMT+2","Direct contact","6–10","Yes","National ISPs (Comcast, Swisscom, etc...)","5","3","2","3","","5","","3","2","5","","Handing governance responsibilities over to the Regional Internet Registries (RIRs)","3","",""
"2022/01/22 3:39:44 AM GMT+2","NANOG mailing list","20+","No","Regional ISPs","0","1","1","1","None","5","There is no way to sell a ""secure"" thing when buyers already think the current product is secure. Explaining to them it's not can cost more business than upselling a secure product. ","1","1","5","Not enough space, but other operators already answered this in NANOG a number of times when SBAS or SCION is mentioned. ","Federation of network providers/ISPs (e.g., MANRS)","5","Avoid creating a structure that would be more interested in its own survival than in fulfilling its mission, like ICANN. Creating equal incentives for either keeping or shutting down the structure is one way to achieve this. ","Yet another attempt not anchored in reality. "
"2022/01/22 4:15:53 AM GMT+2","NANOG mailing list","11–20","Yes","Regional ISPs","5","5","5","5","Nill","5","","5","5","5","","Federation of network providers/ISPs (e.g., MANRS)","5","",""
"2022/01/22 4:24:15 AM GMT+2","NANOG mailing list","2–5","Yes","Research and Academic ISPs (Internet2, GÉA​​​N​T, NJEdge, GRNet, etc...)","3","1","2","2","","3","","3","2","3","","Federation of network providers/ISPs (e.g., MANRS)","5","Governance should be independent of countries and the applying laws, to prevent internet segmentation.","Sadly, I don't see the benefit. This looks more like a master thesis project."
"2022/01/22 5:01:03 AM GMT+2","NANOG mailing list","2–5","Yes","Research and Academic ISPs (Internet2, GÉA​​​N​T, NJEdge, GRNet, etc...)","4","2","3","2","","4","","4","2","4","The extra latency cost limits the usefulness","Handing governance responsibilities over to the Regional Internet Registries (RIRs)","2","",""
"2022/01/22 10:41:32 AM GMT+2","Direct contact","11–20","Yes","Research and Academic ISPs (Internet2, GÉA​​​N​T, NJEdge, GRNet, etc...)","5","4","5","5","","5","","5","4","4","","Federation of network providers/ISPs (e.g., MANRS)","5","",""
"2022/01/22 12:41:22 PM GMT+2","NANOG mailing list","20+","Yes","Regional ISPs","5","1","1","1","Don’t see any for average customer ","2","Usually customer expect a working network at a good price. They are not
 Interested in technical details.","2","1","3","","Federation of network providers/ISPs (e.g., MANRS)","3","",""
"2022/01/24 5:07:54 AM GMT+2","NANOG mailing list","6–10","Yes","Regional ISPs","5","2","2","1","","5","","4","2","5","","Handing governance responsibilities over to the Regional Internet Registries (RIRs)","5","",""
"2022/01/24 4:30:25 PM GMT+2","NANOG mailing list","20+","No","Regional ISPs","4","4","1","1","None. This destroys the community aspects of networking.","5","","5","1","4","","Decentralized governance model (e.g., Tor project)","2","","If there is a way to say bad, but worse...."
"2022/01/24 8:49:05 PM GMT+2","Direct contact","20+","Yes","Research and Academic ISPs (Internet2, GÉA​​​N​T, NJEdge, GRNet, etc...)","5","5","5","5","Ease of deployment. Cost. Operational overhead","5","","4","1","5","I think ISPs will be reluctant to set up iBGP with other ISPs","Federation of network providers/ISPs (e.g., MANRS)","5","Do not hand governance to the RIRs. Especially ARIN - ARIN will make it unfeasible and use the capabilities as a stick to force RSA acceptance.",""
"2022/01/25 6:13:29 AM GMT+2","NANOG mailing list","11–20","No","Large, multi-national ISPs (Level 3, Telia, Cogent, etc...)","4","1","1","1","It has no chance of success, routers are already constrained, geographical boundaries are not commensurate with network reach (especially in Europe), and there is no real proven benefit considering IANA won't even make a single trust root for RPKI so this really has no legs.","5","","2","1","5","","Handing governance responsibilities over to the Regional Internet Registries (RIRs)","5","This is a loaded question. There is no valid option for IANA or the IETF.","A typical academic project with little to no input observed from actual operators who could have advised on the severe drawbacks of this system well in advance."
"2022/01/25 11:27:40 AM GMT+2","NANOG mailing list","20+","Yes","Regional ISPs","4","2","2","2","","4","","2","1","4","","Federation of network providers/ISPs (e.g., MANRS)","3","",""
"2022/01/25 4:00:07 PM GMT+2","Direct contact","20+","Yes","Research and Academic ISPs (Internet2, GÉA​​​N​T, NJEdge, GRNet, etc...)","4","2","2","2","","5","","3","1","5","","Federation of network providers/ISPs (e.g., MANRS)","3","",""
"2022/01/26 7:35:31 PM GMT+2","NANOG mailing list","2–5","Yes","Regional ISPs","4","3","2","2","","3","","2","1","3","","Federation of network providers/ISPs (e.g., MANRS)","3","",""
"2022/01/27 11:44:21 PM GMT+2","Direct contact","11–20","Yes","National ISPs (Comcast, Swisscom, etc...)","5","4","4","4","Secure Internation Communication","4","","5","5","5","","Handing governance responsibilities over to the Regional Internet Registries (RIRs)","4","","Great potential to allow simplified access to SCION benefits"
"2022/01/30 8:27:40 AM GMT+2","NANOG mailing list","2–5","No","Large, multi-national ISPs (Level 3, Telia, Cogent, etc...)","5","4","4","4","","4","","4","4","4","","Handing governance responsibilities over to the Regional Internet Registries (RIRs)","5","",""
